/* DATA DESCRIPTION:
Citation:	König-Langlo, Gert (2015): Radiosonde PS92/37333 during POLARSTERN cruise PS92 (ARK-XXIX/1) on 2015-05-28 10:45h. Alfred Wegener Institute, Helmholtz Center for Polar and Marine Research, Bremerhaven, doi:10.1594/PANGAEA.849528, 
	In: König-Langlo, G (2015): Upper air soundings during POLARSTERN cruise PS92 (ARK-XXIX/1 TRANSSIZ). Alfred Wegener Institute, Helmholtz Center for Polar and Marine Research, Bremerhaven, doi:10.1594/PANGAEA.849656
Project(s):	Meteorological Long-Term Observations @ AWI (AWI_Meteo) (URI: http://www.awi.de/en/science/long-term-observations.html)
Coverage:	LATITUDE: 81.180000 * LONGITUDE: 19.120000
	DATE/TIME START: 2015-05-28T10:45:00 * DATE/TIME END: 2015-05-28T10:45:00
	MINIMUM ALTITUDE: 10 m * MAXIMUM ALTITUDE: 27037 m
Event(s):	PS92/37333 * LATITUDE: 81.180000 * LONGITUDE: 19.120000 * DATE/TIME: 2015-05-28T10:45:00 * LOCATION: Arctic Ocean * CAMPAIGN: PS92 (ARK-XXIX/1) (URI: doi:10.2312/BzPM_0694_2016) * BASIS: Polarstern (URI: http://www.awi.de/en/expedition/ships/polarstern.html) * DEVICE: Radiosonde (RADIO)
Comment:	Height of tropopause 9467 m, precipitable water content 0.6852 cm
Parameter(s):	ALTITUDE [m] (Altitude) * GEOCODE * PI: König-Langlo, Gert (http://orcid.org/0000-0002-6100-4107, gert.koenig-langlo@awi.de, http://www.awi.de/en/about-us/organisation/staff/gert-koenig-langlo.html)
	Pressure, at given altitude [hPa] (PPPP) * PI: König-Langlo, Gert (http://orcid.org/0000-0002-6100-4107, gert.koenig-langlo@awi.de, http://www.awi.de/en/about-us/organisation/staff/gert-koenig-langlo.html)
	Temperature, air [°C] (TTT) * PI: König-Langlo, Gert (http://orcid.org/0000-0002-6100-4107, gert.koenig-langlo@awi.de, http://www.awi.de/en/about-us/organisation/staff/gert-koenig-langlo.html)
	Humidity, relative [%] (RH) * PI: König-Langlo, Gert (http://orcid.org/0000-0002-6100-4107, gert.koenig-langlo@awi.de, http://www.awi.de/en/about-us/organisation/staff/gert-koenig-langlo.html)
	Wind direction [deg] (dd) * PI: König-Langlo, Gert (http://orcid.org/0000-0002-6100-4107, gert.koenig-langlo@awi.de, http://www.awi.de/en/about-us/organisation/staff/gert-koenig-langlo.html)
	Wind speed [m/s] (ff) * PI: König-Langlo, Gert (http://orcid.org/0000-0002-6100-4107, gert.koenig-langlo@awi.de, http://www.awi.de/en/about-us/organisation/staff/gert-koenig-langlo.html)
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	5580 data points
*/
Altitude [m]	PPPP [hPa]	TTT [°C]	RH [%]	dd [deg]	ff [m/s]
3985	611.3	-15.1	62	172	4.2
4004	609.8	-15.0	61	172	4.2
4029	607.8	-15.1	60	172	4.2
4051	606.0	-15.3	60	173	4.1
4075	604.1	-15.4	60	173	4.0
4096	602.4	-15.5	59	174	3.8
4116	600.8	-15.8	57	174	3.6
4138	599.1	-15.8	57	174	3.4
4160	597.3	-16.0	57	174	3.2
4183	595.5	-16.3	57	174	3.0
4210	593.4	-16.4	57	172	2.9
4236	591.3	-16.6	52	171	2.9
4260	589.4	-16.8	53	170	3.0
4289	587.2	-16.9	53	170	3.2
4309	585.6	-17.0	54	173	3.3
4333	583.7	-17.2	51	176	3.3
4353	582.2	-17.2	49	178	3.2
4386	579.6	-17.4	46	180	3.0
4417	577.2	-17.8	46	178	2.6
4449	574.8	-18.0	43	174	2.3
4480	572.4	-18.2	37	166	2.0
4510	570.1	-18.3	20	157	1.9
4540	567.8	-18.2	9	147	1.9
4566	565.8	-18.4	8	140	1.9
4586	564.3	-18.5	9	136	2.0
4606	562.8	-18.5	15	134	2.1
4630	561.0	-18.7	16	133	2.1
4653	559.3	-18.8	10	132	1.9
4681	557.2	-18.9	7	130	1.8
4706	555.3	-19.1	8	126	1.5
4725	553.9	-18.9	7	119	1.2
4748	552.2	-19.0	6	107	1.0
4771	550.5	-19.0	8	89	0.8
4792	548.9	-19.2	22	70	0.8
4814	547.3	-19.6	40	57	0.9
4833	545.9	-19.7	48	51	0.9
4854	544.4	-19.8	47	49	0.8
4874	542.9	-19.9	45	51	0.7
4896	541.3	-20.0	45	58	0.6
4918	539.7	-20.0	42	70	0.6
4940	538.1	-20.3	42	80	0.6
4961	536.6	-20.4	39	84	0.8
4983	535.0	-20.5	32	83	1.0
5002	533.6	-20.7	30	79	1.1
5022	532.2	-20.7	23	74	1.3
5045	530.5	-20.8	14	69	1.4
5070	528.7	-21.0	17	62	1.5
5094	527.0	-21.2	19	56	1.5
5121	525.1	-21.4	19	51	1.4
5145	523.4	-21.6	20	49	1.3
5167	521.8	-21.8	20	51	1.2
5187	520.4	-21.7	19	53	1.2
5211	518.7	-21.9	18	55	1.2
5232	517.2	-22.0	19	53	1.2
5257	515.5	-22.2	18	46	1.3
5277	514.1	-22.4	18	37	1.5
5301	512.4	-22.5	18	28	1.7
5325	510.7	-22.7	18	21	1.9
5346	509.3	-22.8	16	16	2.1
5369	507.7	-23.0	13	14	2.2
5390	506.2	-23.1	14	14	2.2
5412	504.7	-23.1	16	13	2.1
5435	503.1	-23.2	15	13	2.0
5456	501.7	-23.4	17	13	1.9
5475	500.4	-23.6	19	13	1.8
5494	499.1	-23.7	19	14	1.8
5514	497.7	-23.9	17	16	2.0
5535	496.3	-24.0	17	19	2.1
5558	494.7	-24.2	18	22	2.3
5586	492.8	-24.4	26	24	2.4
5613	491.0	-24.7	26	25	2.6
5634	489.6	-24.9	30	24	2.7
5655	488.2	-25.0	31	23	2.8
5674	486.9	-25.0	31	22	3.1
5695	485.5	-25.2	31	22	3.3
5716	484.1	-25.2	27	22	3.5
5739	482.6	-25.2	16	23	3.7
5760	481.2	-25.3	8	24	3.9
5781	479.8	-25.4	8	25	4.1
5800	478.5	-25.5	9	26	4.3
5820	477.2	-25.6	11	26	4.5
5840	475.9	-25.8	17	26	4.7
5860	474.6	-25.9	20	26	4.8
5883	473.1	-26.1	23	26	4.9
5904	471.7	-26.3	27	25	4.9
5926	470.3	-26.5	29	24	4.9
5947	468.9	-26.8	33	23	4.8
5967	467.6	-27.0	35	23	4.7
5989	466.2	-27.2	39	22	4.6
6010	464.8	-27.3	40	22	4.6
6034	463.3	-27.5	39	20	4.5
6060	461.6	-27.7	40	16	4.5
6082	460.2	-27.8	36	12	4.5
6109	458.5	-27.9	40	8	4.5
6134	456.9	-28.1	40	6	4.5
6156	455.5	-28.1	40	4	4.5
6178	454.1	-28.4	38	4	4.5
6198	452.8	-28.5	39	4	4.4
6224	451.2	-28.7	42	5	4.4
6248	449.7	-29.0	44	5	4.3
6267	448.5	-29.1	44	6	4.3
6289	447.1	-29.2	46	7	4.3
6310	445.8	-29.4	49	8	4.4
6332	444.4	-29.5	49	9	4.6
6355	443.0	-29.8	55	10	4.8
6377	441.6	-29.9	58	10	5.0
6398	440.3	-30.2	59	9	5.1
6421	438.9	-30.3	58	7	5.2
6442	437.6	-30.5	60	5	5.2
6463	436.3	-30.7	61	3	5.2
6483	435.1	-30.9	57	2	5.1
6504	433.8	-31.0	55	3	5.1
6527	432.4	-31.2	56	4	5.0
6550	431.0	-31.3	58	6	4.9
6570	429.8	-31.5	59	8	4.9
6588	428.7	-31.7	61	9	4.9
6608	427.5	-31.8	61	10	4.9
6629	426.2	-31.9	60	10	4.9
6653	424.8	-32.1	58	11	5.1
6673	423.6	-32.4	54	12	5.3
6696	422.2	-32.6	54	12	5.5
6716	421.0	-32.7	52	13	5.6
6738	419.7	-32.9	52	13	5.6
6761	418.3	-33.0	51	14	5.6
6783	417.0	-33.3	51	14	5.6
6803	415.8	-33.3	51	14	5.5
6825	414.5	-33.6	51	13	5.4
6846	413.3	-33.8	52	12	5.4
6868	412.0	-34.0	53	10	5.4
6892	410.6	-34.2	54	9	5.4
6914	409.3	-34.4	53	7	5.4
6934	408.1	-34.4	52	6	5.5
6957	406.8	-34.7	52	5	5.4
6977	405.6	-34.9	51	5	5.4
7000	404.3	-35.0	47	5	5.3
7022	403.0	-35.2	48	6	5.2
7043	401.8	-35.4	49	7	5.1
7062	400.7	-35.5	48	8	5.0
7083	399.5	-35.6	46	8	4.9
7106	398.2	-35.8	44	8	4.8
7127	397.0	-35.9	42	7	4.7
7148	395.8	-36.0	44	6	4.8
7169	394.6	-36.2	46	4	4.9
7192	393.3	-36.5	46	2	5.0
7213	392.1	-36.7	47	1	5.3
7236	390.8	-36.8	47	360	5.5
7255	389.7	-37.1	47	360	5.8
7277	388.5	-37.2	44	1	6.1
7300	387.2	-37.5	46	2	6.3
7323	385.9	-37.5	44	2	6.4
7346	384.6	-37.7	42	3	6.5
7368	383.4	-37.8	44	3	6.5
7389	382.2	-38.0	48	3	6.5
7411	381.0	-38.1	47	3	6.5
7433	379.8	-38.4	51	2	6.5
7455	378.6	-38.6	52	1	6.6
7475	377.5	-38.8	53	360	6.7
7495	376.4	-38.9	53	360	6.9
7515	375.3	-39.0	52	359	7.0
7537	374.1	-39.3	50	359	7.1
7559	372.9	-39.5	49	359	7.1
7577	371.9	-39.7	48	359	7.0
7597	370.8	-39.8	49	359	6.9
7619	369.6	-40.0	50	359	6.8
7642	368.4	-40.1	45	360	6.7
7662	367.3	-40.2	42	360	6.7
7683	366.2	-40.3	38	1	6.8
7703	365.1	-40.5	36	1	6.9
7725	363.9	-40.7	39	1	7.1
7744	362.9	-40.9	42	360	7.4
7763	361.9	-41.1	41	360	7.7
7782	360.9	-41.2	39	360	8.1
7804	359.7	-41.2	38	359	8.4
7831	358.3	-41.5	37	359	8.8
7856	357.0	-41.7	37	359	9.0
7880	355.7	-41.9	39	359	9.3
7903	354.5	-42.1	37	359	9.6
7924	353.4	-42.4	40	359	9.9
7945	352.3	-42.6	39	359	10.2
7968	351.1	-42.6	37	359	10.5
7991	349.9	-42.7	36	359	10.8
8013	348.8	-42.9	35	359	11.1
8034	347.7	-43.1	35	359	11.3
8055	346.6	-43.3	36	360	11.6
8077	345.5	-43.5	38	360	11.8
8096	344.5	-43.7	37	360	12.0
8118	343.4	-43.9	37	1	12.1
8137	342.4	-44.1	38	1	12.2
8157	341.4	-44.2	38	1	12.4
8179	340.3	-44.4	38	1	12.5
8200	339.2	-44.5	38	1	12.7
8222	338.1	-44.8	39	2	12.9
8242	337.1	-45.0	40	2	13.1
8264	336.0	-45.2	41	3	13.3
8284	335.0	-45.1	41	4	13.4
8307	333.8	-45.4	39	4	13.5
8330	332.7	-45.6	39	5	13.6
8352	331.6	-45.8	39	5	13.7
8374	330.5	-46.0	39	5	13.9
8396	329.4	-46.1	39	5	14.2
8418	328.3	-46.4	40	6	14.5
8440	327.2	-46.6	40	5	14.8
8463	326.1	-46.8	41	5	15.2
8481	325.2	-46.9	41	5	15.4
8501	324.2	-47.1	41	6	15.6
8524	323.1	-47.2	42	6	15.8
8544	322.1	-47.5	43	6	15.9
8565	321.1	-47.8	45	6	16.0
8586	320.1	-47.9	45	5	16.1
8606	319.1	-48.1	45	5	16.2
8627	318.1	-48.2	46	5	16.3
8648	317.1	-48.4	46	5	16.3
8668	316.1	-48.4	41	4	16.4
8689	315.1	-48.6	37	4	16.4
8710	314.1	-48.9	39	4	16.5
8731	313.1	-49.1	42	3	16.6
8752	312.1	-49.2	46	3	16.7
8773	311.1	-49.4	50	3	16.8
8796	310.0	-49.6	49	3	16.8
8815	309.1	-49.7	49	3	16.8
8839	308.0	-49.9	53	3	16.7
8860	307.0	-50.1	56	3	16.5
8881	306.0	-50.2	55	3	16.3
8905	304.9	-50.6	54	2	16.2
8926	303.9	-50.7	53	3	16.1
8946	303.0	-50.7	48	3	16.1
8965	302.1	-50.8	46	3	16.0
8987	301.1	-50.7	44	3	15.9
9006	300.2	-50.9	44	4	15.8
9030	299.1	-51.0	44	4	15.7
9052	298.1	-51.2	45	5	15.6
9074	297.1	-51.2	46	5	15.6
9093	296.2	-51.5	46	5	15.6
9115	295.2	-51.6	45	6	15.6
9137	294.2	-51.6	44	6	15.6
9159	293.2	-51.7	43	6	15.5
9179	292.3	-51.9	43	7	15.4
9202	291.3	-51.9	42	7	15.2
9226	290.2	-51.8	40	7	15.1
9251	289.1	-51.7	38	7	14.8
9275	288.0	-52.0	37	8	14.6
9300	286.9	-52.3	35	9	14.2
9325	285.8	-52.2	32	9	13.8
9359	284.3	-52.4	31	11	13.2
9396	282.7	-52.7	33	12	12.5
9432	281.1	-53.1	35	13	11.7
9467	279.6	-53.3	34	14	10.8
9487	278.7	-53.2	30	15	10.0
9508	277.8	-53.3	29	14	9.4
9529	276.9	-53.3	30	12	8.9
9553	275.9	-53.4	30	10	8.6
9574	275.0	-53.4	28	9	8.2
9595	274.1	-53.3	26	9	7.9
9618	273.1	-52.8	22	11	7.5
9642	272.1	-52.2	20	12	7.1
9661	271.3	-52.2	20	13	6.8
9682	270.4	-52.4	19	13	6.6
9702	269.6	-52.5	18	12	6.4
9726	268.6	-52.6	19	10	6.4
9747	267.7	-52.9	20	8	6.3
9767	266.9	-52.5	20	7	6.4
9786	266.1	-52.4	19	8	6.3
9808	265.2	-52.4	19	9	6.3
9830	264.3	-52.3	18	11	6.1
9852	263.4	-52.2	18	13	6.0
9874	262.5	-52.2	17	14	5.8
9896	261.6	-52.3	16	15	5.7
9919	260.7	-52.3	16	16	5.7
9941	259.8	-52.4	15	17	5.6
9964	258.9	-52.5	15	18	5.6
9984	258.1	-52.5	13	20	5.5
10006	257.2	-52.3	11	21	5.4
10026	256.4	-52.2	9	21	5.3
10047	255.6	-52.0	8	20	5.2
10067	254.8	-52.0	8	19	5.2
10087	254.0	-51.9	8	17	5.2
10110	253.1	-51.9	8	14	5.3
10131	252.3	-51.5	9	13	5.4
10151	251.5	-51.5	9	11	5.4
10172	250.7	-51.6	9	10	5.5
10195	249.8	-51.2	9	10	5.5
10216	249.0	-51.0	9	11	5.5
10237	248.2	-50.7	8	12	5.4
10258	247.4	-50.8	8	13	5.2
10279	246.6	-50.7	7	12	5.0
10301	245.8	-50.8	6	11	4.7
10319	245.1	-50.8	5	9	4.5
10340	244.3	-50.6	4	8	4.2
10359	243.6	-50.1	3	8	4.1
10381	242.8	-50.1	3	9	4.1
10402	242.0	-50.0	2	11	4.3
10424	241.2	-49.9	2	11	4.6
10443	240.5	-49.2	2	11	4.9
10465	239.7	-49.0	3	9	5.2
10487	238.9	-48.8	3	7	5.4
10509	238.1	-48.7	3	4	5.5
10531	237.3	-48.8	2	1	5.6
10553	236.5	-48.9	2	360	5.6
10573	235.8	-48.5	2	1	5.6
10592	235.1	-48.1	2	4	5.5
10615	234.3	-47.9	2	9	5.2
10634	233.6	-47.7	2	16	5.0
10654	232.9	-47.6	2	22	4.7
10680	232.0	-47.7	2	27	4.6
10703	231.2	-47.7	2	30	4.5
10723	230.5	-47.6	2	31	4.6
10746	229.7	-47.3	2	30	4.7
10766	229.0	-47.5	2	29	4.8
10789	228.2	-47.1	2	29	4.7
10812	227.4	-47.1	2	29	4.5
10833	226.7	-46.9	2	30	4.1
10853	226.0	-47.0	2	31	3.6
10874	225.3	-46.9	2	30	3.1
10897	224.5	-46.7	2	28	2.7
10918	223.8	-46.5	2	24	2.4
10942	223.0	-46.4	2	21	2.2
10963	222.3	-46.5	2	18	2.2
10984	221.6	-46.2	2	18	2.2
11005	220.9	-45.8	2	19	2.2
11026	220.2	-45.5	1	22	2.2
11047	219.5	-45.6	2	26	2.1
11071	218.7	-45.6	2	29	2.1
11093	218.0	-45.6	1	32	2.0
11114	217.3	-45.6	2	34	1.9
11133	216.7	-45.5	1	37	1.9
11154	216.0	-45.5	1	40	1.9
11176	215.3	-45.5	1	45	2.0
11201	214.5	-45.4	1	50	2.2
11223	213.8	-45.2	1	55	2.3
11245	213.1	-44.8	1	60	2.3
11267	212.4	-44.7	1	64	2.3
11285	211.8	-44.9	1	68	2.3
11308	211.1	-44.8	1	72	2.2
11330	210.4	-44.8	1	77	2.1
11352	209.7	-44.9	1	85	2.0
11371	209.1	-45.1	1	93	2.0
11394	208.4	-44.7	1	101	2.1
11416	207.7	-44.5	1	105	2.1
11436	207.1	-44.6	1	107	2.0
11458	206.4	-44.6	1	105	1.9
11481	205.7	-44.4	1	101	1.6
11501	205.1	-44.6	1	94	1.3
11523	204.4	-44.6	1	86	1.0
11543	203.8	-44.5	1	78	0.9
11566	203.1	-44.4	1	73	0.7
11589	202.4	-44.3	1	71	0.7
11609	201.8	-44.4	1	72	0.7
11629	201.2	-44.5	1	72	0.8
11653	200.5	-44.7	1	72	0.9
11673	199.9	-44.6	1	75	1.1
11693	199.3	-44.7	1	79	1.4
11716	198.6	-44.7	1	84	1.7
11737	198.0	-44.5	1	88	2.0
11760	197.3	-44.5	1	91	2.1
11781	196.7	-44.5	1	93	2.1
11805	196.0	-44.4	1	94	2.0
11825	195.4	-44.4	1	94	1.8
11846	194.8	-44.7	1	95	1.7
11870	194.1	-44.8	1	95	1.7
11890	193.5	-44.7	1	94	1.6
11911	192.9	-44.4	1	91	1.6
11936	192.2	-44.6	1	83	1.5
11957	191.6	-44.7	1	69	1.3
11978	191.0	-44.6	1	51	1.3
11999	190.4	-44.6	1	36	1.4
12020	189.8	-44.6	1	28	1.6
12041	189.2	-44.6	1	27	1.8
12066	188.5	-44.3	1	30	1.9
12087	187.9	-44.4	1	35	2.0
12109	187.3	-44.4	1	41	2.1
12130	186.7	-44.3	1	45	2.0
12155	186.0	-44.6	1	49	1.8
12177	185.4	-44.7	1	52	1.5
12199	184.8	-44.7	1	53	1.2
12220	184.2	-44.8	1	53	0.9
12242	183.6	-44.7	1	48	0.7
12264	183.0	-44.5	1	39	0.6
12286	182.4	-44.3	1	0	0.0
12308	181.8	-44.4	1	0	0.0
12330	181.2	-44.2	1	0	0.0
12353	180.6	-43.8	1	0	0.0
12375	180.0	-43.8	1	0	0.0
12397	179.4	-43.6	1	0	0.0
12420	178.8	-43.7	1	176	0.6
12443	178.2	-43.5	1	169	0.9
12465	177.6	-43.6	1	165	1.2
12488	177.0	-43.4	1	162	1.5
12511	176.4	-43.6	1	159	1.6
12534	175.8	-43.8	1	158	1.6
12553	175.3	-44.0	1	157	1.5
12576	174.7	-44.1	1	158	1.4
12599	174.1	-44.3	1	159	1.2
12622	173.5	-44.4	1	159	1.0
12641	173.0	-44.6	1	156	0.8
12665	172.4	-44.7	1	151	0.7
12688	171.8	-44.7	1	142	0.6
12711	171.2	-44.8	1	360	0.5
12735	170.6	-44.9	1	0	0.0
12755	170.1	-44.8	1	0	0.0
12778	169.5	-44.7	1	0	0.0
12798	169.0	-44.8	1	0	0.0
12822	168.4	-44.8	1	220	0.5
12842	167.9	-44.7	1	215	0.8
12866	167.3	-44.7	1	208	0.9
12890	166.7	-44.6	1	199	0.9
12910	166.2	-44.8	1	188	0.8
12934	165.6	-44.8	1	169	0.6
12954	165.1	-44.6	1	0	0.0
